"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"z1",0.0250394131109273,0.28158304016613,0.0107804459447465,0.282466654812391,0.0382340954139954,0.308530382328727,0.0229563247652207,0.293284388134174,0.0251842260964729,0.300351167006347
"z2",0.0118192051710367,0.279731944775163,0.011797406975331,0.281097177222225,0.00800251779621486,0.303629489328403,0.00365290697896575,0.288974784033228,0.0287304423413414,0.286664710872912
"z3",-0.00498287675746989,0.280855454064,0.0100026382535299,0.282204463536475,0.0433799109940519,0.305587732138612,0.00993709088039557,0.292206590199631,-0.00326765417101266,0.290365077646775
"z4",0.0467901676464972,0.281035217548368,0.0298857728096459,0.282271139579257,0.0236266142747746,0.309954912697386,0.0364704011777307,0.298702010908739,0.0207778590605458,0.298693989054241
"z5",0.00521744959245074,0.282921112854338,0.0102357450092195,0.283923819646354,0.0412022707412874,0.316234825464669,0.0230600700719698,0.307746867512568,0.0391114372299204,0.306373581049682
