"","V1","V2","V3","V4","V5","V6"
"z1",0.272749285059243,0.288065097643978,0.282466654812391,0.300351167006347,0.308351213931557,0.353854685193363
"z2",0.272569727908035,0.274310088968997,0.281097177222225,0.286664710872912,0.308435678779252,0.322907860668906
"z3",0.271107140406764,0.279671435201778,0.282204463536475,0.290365077646775,0.309382867366672,0.323708873266083
"z4",0.272695240079422,0.284307368076513,0.282271139579257,0.298693989054241,0.312204791974457,0.331683453578141
"z5",0.274667575855607,0.292669344179373,0.283923819646354,0.306373581049682,0.312453593374843,0.346718244529237
