"","V1","V2","V3","V4","V5","V6","V7","V8"
"z1",0.282466654812391,0.300351167006347,0.261758582508797,0.273438289794896,0.256361449789181,0.276112510988325,0.237746866466938,0.252029422904255
"z2",0.281097177222225,0.286664710872912,0.262144679489306,0.263794727886268,0.255233249225267,0.266068149475242,0.234999963806317,0.243047085834225
"z3",0.282204463536475,0.290365077646775,0.262646420983586,0.268480485492778,0.25689721126658,0.274016890897022,0.235781768754863,0.251248495131481
"z4",0.282271139579257,0.298693989054241,0.263037942610729,0.274805989328778,0.258727721838484,0.282919226040344,0.237518209226056,0.260303726062489
"z5",0.283923819646354,0.306373581049682,0.263388985285669,0.283474892863657,0.260070190113024,0.294504568231032,0.23831809562647,0.269053543231711
